"jaar";"schuldenaren";"aandeel_schuldenaren";"nietschuldenaren";"Groep"
"2015";661730;8,6;7004220;"Totaal huishoudens (oud)"
"2016";661860;8,6;7059730;"Totaal huishoudens (oud)"
"2017";604670;7,8;7190410;"Totaal huishoudens (oud)"
"2018";650700;8,3;7208240;"Totaal huishoudens (oud)"
"2019";625280;8,1;7118590;"Totaal huishoudens (oud)"
"2019";78720;1,1;6890450;"Instromers (oud)"
"2020-01";630120;7,9;7368910;"Totaal huishoudens (oud)"
"2020-01";84260;1,2;7095000;"Instromers (oud)"
"2020-10";614270;7,6;7443440;"Totaal huishoudens (oud)"
"2020-10";64340;0,9;7229470;"Instromers (oud)"
"2021-01";599160;7,4;7445730;"Totaal huishoudens (oud)"
"2021-01";76110;1;7189610;"Instromers (oud)"
"2021-01";618090;7,7;7424890;"Totaal huishoudens"
"2021-10";620040;7,6;7513990;"Totaal huishoudens (oud)"
"2021-10";84000;1,1;7319310;"Instromers (oud)"
"2022-01";662150;8,1;7475860;"Totaal huishoudens"
"2022-01";125860;1,7;7217430;"Instromers"
"2022-01";124650;1,7;7242550;"Instromers (oud)"
"2022-01";644160;7,9;7493840;"Totaal huishoudens (oud)"
"2023-01";726210;8,8;7543350;"Totaal huishoudens"
"2023-01";148670;2;7223800;"Instromers"
"2023-01";148300;2;7246520;"Instromers (oud)"
"2023-01";711640;8,6;7557920;"Totaal huishoudens (oud)"
"2024-01";747560;8,9;7628340;"Totaal huishoudens"
"2024-01";138760;1,9;7315570;"Instromers"
